vehiclespeed,latitude,longitude,verizon,sprint,xfinitywifi
0.0,42.279843,-83.740845,61.332,135.101,35.675
0.0,42.279843,-83.740845,93.203,120.709,69.783
0.0,42.279843,-83.740845,94.105,124.397,36.246
0.0,42.279843,-83.740845,78.119,74.819,186.434
0.0,42.279845,-83.740845,62.376,52.857,131.388
0.621,42.279845,-83.740845,88.158,56.87,34.541
0.0,42.279845,-83.740845,71.732,52.558,59.263
0.0,42.279845,-83.740845,87.313,54.746,77.91
1.243,42.279845,-83.740845,94.957,121.454,54.279
1.243,42.279845,-83.740845,86.483,66.282,35.928
4.971,42.279845,-83.740845,96.319,126.04,18.213
4.971,42.279845,-83.740845,86.506,114.829,40.963
8.078,42.279845,-83.740845,88.886,109.034,111.59
8.078,42.279845,-83.740845,83.574,50.612,502.862
8.078,42.279845,-83.740845,84.758,112.332,72839.525
7.456,42.279845,-83.740845,87.529,56.418,71845.869
5.592,42.279845,-83.740845,71.782,64.33,71085.619
2.485,42.279845,-83.740845,66.2,56.94,70187.646
0.0,42.279845,-83.740845,89.38,117.693,69129.208
0.0,42.279845,-83.740845,88.485,117.261,-1.0
0.0,42.279845,-83.740845,104.593,122.006,-1.0
0.0,42.279845,-83.740845,83.307,113.72,-1.0
0.0,42.279845,-83.740845,88.47,133.376,-1.0
0.0,42.279845,-83.740845,80.048,46.829,-1.0
0.0,42.279845,-83.740845,84.581,112.498,-1.0
0.0,42.279842,-83.740838,122.031,137.79,-1.0
1.243,42.279842,-83.740838,99.319,108.68,-1.0
4.971,42.279842,-83.740838,82.481,56.796,-1.0
5.592,42.27984,-83.740832,93.304,113.426,-1.0
6.214,42.27984,-83.740832,86.541,113.866,-1.0
6.214,42.27984,-83.740832,86.951,113.241,-1.0
4.971,42.279838,-83.740828,74.686,111.952,-1.0
4.35,42.279838,-83.740828,109.162,112.981,-1.0
4.35,42.279838,-83.740828,86.378,94.056,-1.0
5.592,42.279838,-83.740828,75.29,80.496,-1.0
5.592,42.279838,-83.740828,68.983,113.236,-1.0
4.971,42.279838,-83.740828,88.307,111.026,-1.0
4.971,42.279838,-83.740827,88.612,110.081,-1.0
4.35,42.279838,-83.740827,78.952,63.572,-1.0
2.485,42.279838,-83.740827,56.661,110.578,-1.0
0.0,42.279838,-83.740823,87.735,111.32,-1.0
0.0,42.279838,-83.740823,87.328,86.874,-1.0
0.0,42.279838,-83.740823,75.327,62.592,-1.0
0.0,42.279838,-83.74082,77.288,118.989,-1.0
0.0,42.279838,-83.74082,90.506,111.572,-1.0
0.0,42.279838,-83.74082,72.906,121.077,-1.0
0.0,42.279833,-83.740812,95.335,111.386,-1.0
0.0,42.279833,-83.740812,88.184,108.733,-1.0
0.0,42.279833,-83.740812,88.425,130.131,-1.0
0.0,42.279817,-83.740798,79.26,51.189,-1.0
0.0,42.279817,-83.740798,75.808,49.479,-1.0
0.0,42.279817,-83.740798,80.786,119.443,-1.0
0.0,42.279817,-83.740798,87.01,116.881,-1.0
