vehiclespeed,latitude,longitude,verizon,sprint,xfinitywifi
22.991,42.24338,-83.739347,111.751,122.901,-1.0
24.233,42.24338,-83.739347,54.568,120.653,-1.0
26.719,42.24338,-83.739347,135.539,113.781,-1.0
27.34,42.24338,-83.739347,101.745,70.21,-1.0
26.719,42.24338,-83.739347,98.59,115.113,-1.0
29.826,42.24338,-83.739347,80.528,121.235,-1.0
33.554,42.24329,-83.739353,66.503,51.056,-1.0
36.661,42.24329,-83.739353,88.942,116.513,-1.0
39.768,42.24329,-83.739353,93.621,133.798,-1.0
42.253,42.2432,-83.73936,78.638,55.361,-1.0
44.117,42.2432,-83.73936,85.984,125.229,-1.0
45.981,42.2432,-83.73936,82.55,109.325,-1.0
47.224,42.243108,-83.739368,86.067,118.247,-1.0
48.467,42.243108,-83.739368,85.531,110.69,-1.0
49.71,42.243108,-83.739368,92.083,116.68,-1.0
50.952,42.243013,-83.739373,91.823,109.892,-1.0
50.952,42.243013,-83.739373,61.042,49.745,-1.0
50.952,42.243013,-83.739373,82.138,48.398,-1.0
51.574,42.242908,-83.739377,87.036,114.98,-1.0
52.817,42.242908,-83.739377,87.548,66.554,-1.0
52.817,42.242908,-83.739377,83.977,110.99,-1.0
52.817,42.242908,-83.739377,88.28,115.946,-1.0
51.574,42.242908,-83.739377,75.788,110.955,-1.0
50.952,42.242908,-83.739377,87.557,51.88,-1.0
49.71,42.242798,-83.739377,84.664,115.142,-1.0
48.467,42.242798,-83.739377,79.4,116.613,-1.0
47.224,42.242798,-83.739377,93.93,62.966,-1.0
45.981,42.242687,-83.739375,80.255,116.026,-1.0
44.739,42.242687,-83.739375,81.825,108.45,-1.0
43.496,42.242687,-83.739375,77.488,134.795,-1.0
42.253,42.242572,-83.73937,67.876,58.446,-1.0
42.875,42.242572,-83.73937,61.486,108.459,-1.0
43.496,42.242572,-83.73937,54.01,112.732,-1.0
42.875,42.24245,-83.739367,81.272,123.091,-1.0
43.496,42.24245,-83.739367,58.169,53.779,-1.0
42.253,42.24245,-83.739367,83.834,110.8,-1.0
42.253,42.242315,-83.739363,83.344,117.885,-1.0
42.253,42.242315,-83.739363,79.914,122.995,-1.0
41.632,42.242315,-83.739363,83.753,108.733,-1.0
41.632,42.242315,-83.739363,89.912,114.655,-1.0
41.632,42.242315,-83.739363,87.421,118.788,-1.0
41.632,42.242315,-83.739363,74.177,110.724,-1.0
41.632,42.242167,-83.739358,85.577,57.238,-1.0
41.632,42.242167,-83.739358,86.347,132.024,-1.0
41.01,42.242167,-83.739358,71.475,106.256,-1.0
41.01,42.242007,-83.739355,72.674,57.642,-1.0
34.797,42.242007,-83.739355,80.345,123.393,-1.0
28.583,42.242007,-83.739355,87.475,118.432,-1.0
22.991,42.241837,-83.739352,87.31,114.619,-1.0
16.777,42.241837,-83.739352,57.4,55.413,-1.0
10.563,42.241837,-83.739352,91.95,111.456,-1.0
9.321,42.241658,-83.739348,93.868,51.388,-1.0
8.078,42.241658,-83.739348,58.016,112.44,-1.0
7.456,42.241658,-83.739348,59.216,55.051,-1.0
7.456,42.241472,-83.739347,89.269,123.7,-1.0
11.185,42.241472,-83.739347,87.423,121.798,-1.0
14.913,42.241472,-83.739347,80.432,115.513,-1.0
19.263,42.241472,-83.739347,85.884,53.268,-1.0
22.991,42.241472,-83.739347,84.038,110.738,-1.0
25.476,42.241472,-83.739347,94.727,54.652,-1.0
29.204,42.241282,-83.739347,87.965,62.27,-1.0
31.69,42.241282,-83.739347,81.757,53.7,-1.0
34.797,42.241282,-83.739347,86.66,119.957,-1.0
36.661,42.241087,-83.73935,76.091,117.046,-1.0
38.525,42.241087,-83.73935,72.518,59.438,-1.0
40.389,42.241087,-83.73935,93.267,53.012,-1.0
42.253,42.240885,-83.739353,83.577,114.691,-1.0
43.496,42.240885,-83.739353,81.15,114.578,-1.0
44.117,42.240885,-83.739353,54.094,49.197,-1.0
42.875,42.24068,-83.739353,79.976,107.87,-1.0
42.253,42.24068,-83.739353,80.497,106.575,-1.0
40.389,42.24068,-83.739353,76.688,111.829,-1.0
38.525,42.240472,-83.73935,50.557,47.256,-1.0
35.418,42.240472,-83.73935,92.612,112.607,-1.0
34.175,42.240472,-83.73935,85.378,110.893,-1.0
33.554,42.240472,-83.73935,83.597,124.946,-1.0
32.933,42.240472,-83.73935,88.387,52.509,-1.0
32.311,42.240472,-83.73935,83.162,113.358,-1.0
30.447,42.240263,-83.739345,86.892,114.052,-1.0
29.204,42.240263,-83.739345,90.919,65.229,-1.0
27.962,42.240263,-83.739345,86.576,113.649,-1.0
27.34,42.240055,-83.73934,88.337,132.685,-1.0
27.34,42.240055,-83.73934,74.688,110.839,-1.0
27.34,42.240055,-83.73934,69.78,58.411,-1.0
27.34,42.239843,-83.739338,89.491,51.288,-1.0
27.962,42.239843,-83.739338,90.106,45.011,-1.0
28.583,42.239843,-83.739338,78.313,114.748,-1.0
29.826,42.239628,-83.739333,61.973,52.753,-1.0
30.447,42.239628,-83.739333,81.968,118.619,-1.0
30.447,42.239628,-83.739333,90.48,122.848,-1.0
30.447,42.239412,-83.739328,75.026,112.881,-1.0
30.447,42.239412,-83.739328,89.604,112.709,-1.0
31.069,42.239412,-83.739328,80.607,125.813,-1.0
31.069,42.239412,-83.739328,83.131,97.826,-1.0
31.69,42.239412,-83.739328,83.173,82.777,-1.0
32.311,42.239412,-83.739328,88.542,54.573,-1.0
33.554,42.239195,-83.739322,79.179,48.305,-1.0
35.418,42.239195,-83.739322,99.391,114.683,-1.0
37.904,42.239195,-83.739322,77.648,54.324,-1.0
40.389,42.238982,-83.739313,83.497,58.56,-1.0
42.875,42.238982,-83.739313,92.698,122.084,-1.0
45.36,42.238982,-83.739313,86.417,116.589,-1.0
47.224,42.238773,-83.739308,59.914,65.288,-1.0
49.088,42.238773,-83.739308,84.146,108.594,-1.0
50.952,42.238773,-83.739308,91.719,114.288,-1.0
52.195,42.238568,-83.739302,81.105,116.807,-1.0
54.059,42.238568,-83.739302,58.671,54.733,-1.0
55.302,42.238568,-83.739302,83.55,109.761,-1.0
55.923,42.23837,-83.739295,84.996,107.121,-1.0
57.166,42.23837,-83.739295,81.427,48.39,-1.0
57.788,42.23837,-83.739295,87.599,53.41,-1.0
58.409,42.23837,-83.739295,85.495,115.402,-1.0
59.03,42.23837,-83.739295,89.199,124.522,-1.0
59.652,42.23837,-83.739295,82.541,109.23,-1.0
60.273,42.238177,-83.739292,88.447,116.835,-1.0
60.273,42.238177,-83.739292,81.623,109.528,-1.0
60.894,42.238177,-83.739292,92.027,111.044,-1.0
60.894,42.237988,-83.73929,84.614,118.621,-1.0
60.894,42.237988,-83.73929,85.61,47.339,-1.0
60.894,42.237988,-83.73929,87.95,120.277,-1.0
60.894,42.237805,-83.739285,81.943,115.311,-1.0
61.516,42.237805,-83.739285,70.73,116.418,-1.0
62.758,42.237805,-83.739285,76.612,109.373,-1.0
