mph,lat,lon,bz_vz,bz_sp
5.592,42.296877,-83.878253,60.968,63.087
9.942,42.296877,-83.878253,52.687,64.138
11.185,42.296877,-83.878253,130.832,73.009
11.806,42.296878,-83.878253,85.46,78.002
14.292,42.296878,-83.878253,90.768,50.071
16.777,42.296878,-83.878253,134.151,116.513
18.641,42.296878,-83.878253,81.372,114.665
20.505,42.296878,-83.878253,82.762,53.089
22.369,42.296878,-83.878253,130.376,112.638
24.855,42.29688,-83.878238,86.222,117.311
27.34,42.29688,-83.878238,85.057,46.999
29.826,42.29688,-83.878238,85.38,64.347
31.69,42.296883,-83.8782,86.818,49.491
33.554,42.296883,-83.8782,82.41,50.881
36.04,42.296883,-83.8782,74.287,58.223
36.04,42.29689,-83.878143,69.046,110.317
36.04,42.29689,-83.878143,62.024,62.74
36.661,42.29689,-83.878143,118.224,56.987
38.525,42.296907,-83.878083,91.445,46.55
39.768,42.296907,-83.878083,740.112,117.61
41.01,42.296907,-83.878083,60.105,49.715
41.632,42.296935,-83.878023,103.754,111.703
41.01,42.296935,-83.878023,173.807,53.42
41.01,42.296935,-83.878023,87.874,69.341
41.01,42.296935,-83.878023,88.232,117.0
41.632,42.296935,-83.878023,86.495,115.065
41.632,42.296935,-83.878023,61.993,110.748
42.253,42.29698,-83.877968,65.041,55.561
42.253,42.29698,-83.877968,83.554,51.222
41.632,42.29698,-83.877968,88.985,121.175
41.632,42.297045,-83.877927,177.307,65.896
41.632,42.297045,-83.877927,52.539,67.472
41.632,42.297045,-83.877927,88.968,110.834
41.632,42.297122,-83.877902,88.813,139.458
42.253,42.297122,-83.877902,154.629,64.782
42.875,42.297122,-83.877902,77.182,59.738
43.496,42.297208,-83.87789,51.513,125.714
44.739,42.297208,-83.87789,82.373,121.368
45.981,42.297208,-83.87789,137.336,56.573
47.846,42.2973,-83.87789,88.997,157.89
49.71,42.2973,-83.87789,84.62,75.866
51.574,42.2973,-83.87789,85.682,155.459
52.195,42.2973,-83.87789,87.618,72.0
51.574,42.2973,-83.87789,87.842,68.894
51.574,42.2973,-83.87789,82.183,65.301
50.331,42.2974,-83.877893,82.21,66.432
50.331,42.2974,-83.877893,60.605,501.735
49.71,42.2974,-83.877893,86.324,157.177
49.71,42.29751,-83.877898,105.152,78.766
49.71,42.29751,-83.877898,81.924,72.563
49.71,42.29751,-83.877898,60.521,138.788
49.71,42.297628,-83.877903,65.353,130.653
49.71,42.297628,-83.877903,86.982,80.946
49.71,42.297628,-83.877903,79.703,134.101
49.71,42.297757,-83.877907,86.135,72.61
49.71,42.297757,-83.877907,87.287,64.983
49.71,42.297757,-83.877907,95.769,189.987
49.71,42.29789,-83.87791,129.915,68.018
49.71,42.29789,-83.87791,89.309,59.137
49.71,42.29789,-83.87791,117.012,69.861
49.088,42.29789,-83.87791,79.804,128.523
49.088,42.29789,-83.87791,119.585,132.512
49.088,42.29789,-83.87791,87.423,56.968
49.088,42.298035,-83.877915,90.298,72.517
49.088,42.298035,-83.877915,87.801,124.911
49.71,42.298035,-83.877915,60.452,72.794
49.71,42.298183,-83.87792,57.815,68.665
50.331,42.298183,-83.87792,94.417,136.111
50.331,42.298183,-83.87792,73.236,134.569
50.331,42.298332,-83.877925,57.037,66.736
49.71,42.298332,-83.877925,84.136,62.885
49.71,42.298332,-83.877925,57.685,129.421
49.71,42.298482,-83.87793,83.985,138.105
50.331,42.298482,-83.87793,94.837,53.368
50.331,42.298482,-83.87793,89.095,114.828
50.331,42.298635,-83.877933,82.106,77.96
50.331,42.298635,-83.877933,117.14,115.025
49.71,42.298635,-83.877933,104.228,65.098
49.71,42.298635,-83.877933,89.866,63.493
49.088,42.298635,-83.877933,84.576,111.958
49.088,42.298635,-83.877933,107.107,117.315
49.088,42.298793,-83.877937,63.735,62.85
49.088,42.298793,-83.877937,98.971,112.606
49.088,42.298793,-83.877937,51.733,58.261
49.71,42.298958,-83.87794,108.438,122.623
49.71,42.298958,-83.87794,113.21,52.902
49.71,42.298958,-83.87794,72.836,76.839
49.71,42.299128,-83.877945,96.958,120.132
49.71,42.299128,-83.877945,128.649,72.954
49.71,42.299128,-83.877945,51.736,62.369
49.71,42.299298,-83.877953,171.557,135.218
49.71,42.299298,-83.877953,79.023,146.856
49.71,42.299298,-83.877953,189.215,85.847
49.71,42.299468,-83.877958,84.364,217.912
49.71,42.299468,-83.877958,87.848,124.74
49.71,42.299468,-83.877958,70.443,130.756
49.71,42.299468,-83.877958,77.364,64.484
50.331,42.299468,-83.877958,78.256,73.25
50.331,42.299468,-83.877958,87.848,159.577
50.331,42.29964,-83.877962,80.605,124.634
50.331,42.29964,-83.877962,78.153,144.857
50.331,42.29964,-83.877962,93.463,124.409
50.331,42.299808,-83.877967,90.64,58.3
49.71,42.299808,-83.877967,73.104,139.778
49.71,42.299808,-83.877967,93.483,93.333
49.088,42.299978,-83.877973,77.954,79.844
49.088,42.299978,-83.877973,53.143,149.277
49.088,42.299978,-83.877973,79.118,147.464
49.71,42.30015,-83.877978,85.217,78.139
49.71,42.30015,-83.877978,549.528,72.094
49.71,42.30015,-83.877978,77.179,63.289
49.71,42.300322,-83.877983,109.596,141.341
50.331,42.300322,-83.877983,136.644,135.51
49.71,42.300322,-83.877983,88.71,63.835
49.71,42.300322,-83.877983,100.955,126.424
49.71,42.300322,-83.877983,121.119,128.135
49.71,42.300322,-83.877983,91.539,126.215
49.088,42.300493,-83.877987,118.127,64.653
49.088,42.300493,-83.877987,129.266,120.77
49.088,42.300493,-83.877987,93.693,55.366
49.088,42.322797,-83.886447,84.01,59.88
49.71,42.322797,-83.886447,115.734,61.886
49.71,42.322797,-83.886447,67.098,99.371
50.331,42.322797,-83.886447,111.27,124.865
50.331,42.322797,-83.886447,186.148,57.89
50.331,42.322797,-83.886447,60.372,62.363
50.331,42.32299,-83.8865,91.418,90.541
50.331,42.32299,-83.8865,97.986,147.153
49.71,42.32299,-83.8865,117.712,64.286
49.088,42.323185,-83.886557,87.601,129.137
48.467,42.323185,-83.886557,79.555,137.26
47.846,42.323185,-83.886557,90.532,83.251
