vehiclespeed,latitude,longitude,verizon,sprint,xfinitywifi
0.0,42.270212,-83.751258,117.392,129.774,25.303
0.0,42.270212,-83.751258,81.024,51.627,19.615
0.0,42.270212,-83.751258,94.878,118.199,24.612
0.0,42.270212,-83.751258,94.822,64.867,18.277
0.0,42.270212,-83.751258,77.29,50.181,20.233
0.0,42.270212,-83.751258,82.583,64.837,18.842
0.0,42.270212,-83.751258,64.178,115.282,16.826
0.0,42.270212,-83.751258,85.354,46.987,31.842
0.0,42.270212,-83.751258,102.477,106.132,17.228
0.0,42.270212,-83.751258,86.308,118.794,63.259
0.0,42.270212,-83.751258,76.86,49.618,49.323
0.0,42.270212,-83.751258,79.814,50.397,13.862
0.0,42.270212,-83.751258,74.939,118.492,93.858
0.0,42.270212,-83.751258,80.982,60.649,30.924
0.0,42.270212,-83.751258,84.455,57.149,15.535
0.0,42.270212,-83.751258,70.642,114.569,23.142
0.0,42.270212,-83.751258,87.137,53.419,17.726
0.0,42.270212,-83.751258,93.435,56.777,14.364
0.0,42.270212,-83.751258,81.416,64.012,21.431
0.0,42.270212,-83.751258,83.191,124.189,17.73
0.0,42.270212,-83.751258,85.561,47.93,19.175
0.0,42.270212,-83.751258,95.476,47.078,38.778
0.0,42.270212,-83.751258,81.123,116.732,58.213
0.0,42.270212,-83.751258,91.834,55.386,18.74
0.621,42.270212,-83.751258,86.802,61.254,24.113
2.485,42.270212,-83.751258,79.881,119.909,20.202
4.35,42.270212,-83.751258,74.151,127.365,39.548
6.214,42.270212,-83.751258,93.017,48.651,24.428
6.835,42.270212,-83.751258,88.889,48.821,16.163
7.456,42.270212,-83.751258,74.732,54.335,30.44
8.078,42.270212,-83.751258,56.022,117.895,284.071
8.699,42.270212,-83.751258,90.165,49.907,24762.249
9.321,42.270212,-83.751258,103.704,47.565,24735.105
9.942,42.270212,-83.751258,74.875,129.07,23692.014
10.563,42.270212,-83.751258,54.028,51.392,22652.813
10.563,42.270212,-83.751258,82.364,110.388,21609.796
10.563,42.270212,-83.751258,86.772,111.893,-1.0
11.185,42.270212,-83.751258,73.998,110.579,-1.0
11.806,42.270212,-83.751258,85.9,53.608,-1.0
11.806,42.270212,-83.751258,87.968,112.387,-1.0
11.185,42.270212,-83.751258,88.348,114.664,-1.0
9.942,42.270212,-83.751258,97.769,76.474,-1.0
7.456,42.270212,-83.751258,91.131,47.468,-1.0
4.971,42.270212,-83.751258,89.133,63.133,-1.0
3.107,42.270212,-83.751258,72.515,118.038,-1.0
0.621,42.270212,-83.751258,71.928,149.965,-1.0
