mph,lat,lon,bz_vz,bz_sp,bz_w1
0.0,42.167627,-83.444664,80.146,49.508,25.011
0.0,42.167627,-83.444664,96.319,129.879,28.391
0.0,42.167627,-83.444664,136.983,122.143,31.051
0.0,42.167627,-83.444664,85.33,69.413,48.22
0.0,42.167631,-83.444668,83.29,122.349,26.293
0.0,42.167631,-83.444668,72.76,70.629,32.062
0.0,42.167631,-83.444668,88.084,51.53,29.23
0.0,42.167631,-83.444668,75.149,129.889,45.82
0.0,42.167631,-83.444668,81.472,56.445,27.197
0.0,42.167631,-83.444668,80.247,124.605,36.124
0.0,42.167631,-83.444668,83.119,117.765,27.916
0.0,42.167631,-83.444668,83.986,56.731,130.316
0.0,42.167631,-83.444668,87.927,140.184,64.269
0.0,42.167631,-83.444668,83.457,117.96,40.396
0.0,42.167631,-83.444668,82.135,55.508,56.104
0.0,42.167631,-83.444668,77.905,123.149,43.733
0.0,42.167631,-83.444668,84.089,118.515,39.822
0.0,42.167631,-83.444668,86.034,61.669,36.68
0.0,42.167631,-83.444668,78.353,64.971,27.161
0.0,42.167631,-83.444668,79.879,123.162,57.079
1.243,42.167631,-83.444668,92.54,65.338,36.271
0.621,42.167631,-83.444668,84.492,114.322,20.932
0.0,42.167632,-83.444668,75.309,50.793,32.392
0.0,42.167632,-83.444668,80.633,59.944,36.443
0.621,42.167632,-83.444668,92.845,118.47,31.809
1.243,42.167632,-83.444668,87.273,123.462,123.857
1.864,42.167632,-83.444668,50.826,72.853,36.825
3.107,42.167632,-83.444668,81.846,56.022,139.051
4.971,42.167632,-83.444668,81.342,113.988,47.651
5.592,42.167632,-83.444668,82.986,70.019,51.011
5.592,42.167632,-83.444668,78.53,52.289,36.021
5.592,42.167632,-83.444668,82.256,116.793,50.682
5.592,42.167632,-83.444668,89.57,52.686,133.301
5.592,42.167632,-83.444668,86.558,69.636,67594.992
6.835,42.167632,-83.444668,79.631,53.882,66623.096
7.456,42.167632,-83.444668,92.286,117.2,65566.868
8.078,42.167632,-83.444668,82.607,57.935,64508.231
8.699,42.167632,-83.444668,83.606,119.069,63440.812
8.699,42.167632,-83.444668,83.13,133.379,-1.0
8.078,42.167632,-83.444668,82.386,67.107,-1.0
8.078,42.167632,-83.444668,82.222,124.926,-1.0
8.078,42.167632,-83.444668,89.695,120.599,-1.0
8.078,42.167632,-83.444668,78.709,63.511,-1.0
6.214,42.167632,-83.444668,81.07,62.945,-1.0
4.35,42.167632,-83.444668,85.561,121.548,-1.0
3.107,42.167632,-83.444668,76.212,122.682,-1.0
2.485,42.167632,-83.444668,83.177,57.944,-1.0
1.243,42.167632,-83.444668,85.848,257.979,-1.0
0.0,42.167632,-83.444668,74.723,129.871,-1.0
0.0,42.167632,-83.444668,92.873,69.998,-1.0
0.0,42.167632,-83.444668,85.925,61.085,-1.0
0.621,42.167632,-83.444668,82.362,115.87,-1.0
1.243,42.167632,-83.444668,61.926,57.737,-1.0
1.243,42.167632,-83.444668,79.699,62.24,-1.0
0.0,42.167632,-83.444668,89.465,61.019,-1.0
0.0,42.167632,-83.444668,87.787,78.82,-1.0
0.0,42.167632,-83.444668,85.919,69.391,-1.0
1.864,42.167632,-83.444668,87.696,121.993,-1.0
4.971,42.167632,-83.444668,82.341,118.546,-1.0
7.456,42.167632,-83.444668,93.285,58.266,-1.0
9.321,42.167632,-83.444668,80.573,114.616,-1.0
9.942,42.167632,-83.444668,159.159,118.23,-1.0
9.321,42.167632,-83.444668,54.527,59.178,-1.0
9.321,42.167632,-83.444668,85.977,69.029,-1.0
9.321,42.167632,-83.444668,80.732,55.998,-1.0
8.699,42.167632,-83.444668,102.984,120.311,-1.0
8.699,42.167632,-83.444668,84.05,59.495,-1.0
8.699,42.167632,-83.444668,87.765,142.36,-1.0
9.321,42.167632,-83.444668,76.859,139.086,-1.0
9.321,42.167632,-83.444668,81.958,67.295,-1.0
9.321,42.167632,-83.444668,83.428,118.693,-1.0
8.699,42.167632,-83.444668,78.002,131.898,-1.0
8.699,42.167632,-83.444668,58.303,66.178,-1.0
8.699,42.167632,-83.444668,84.125,60.707,-1.0
8.699,42.167632,-83.444668,80.039,114.677,-1.0
8.699,42.167632,-83.444668,73.245,68.719,-1.0
8.078,42.167634,-83.444667,77.098,52.706,-1.0
8.078,42.167634,-83.444667,84.383,127.854,-1.0
8.078,42.167634,-83.444667,77.629,128.46,-1.0
7.456,42.167634,-83.444667,80.385,53.902,-1.0
5.592,42.167634,-83.444667,84.5,67.96,-1.0
4.35,42.167634,-83.444667,77.75,134.195,-1.0
1.864,42.167635,-83.444667,59.586,60.889,-1.0
0.0,42.167635,-83.444667,87.349,51.36,-1.0
0.0,42.167635,-83.444667,82.975,117.782,-1.0
0.0,42.167635,-83.444665,57.053,54.516,-1.0
0.0,42.167635,-83.444665,87.543,52.482,-1.0
0.621,42.167635,-83.444665,101.875,119.92,-1.0
1.243,42.167635,-83.444661,70.865,118.145,-1.0
0.621,42.167635,-83.444661,85.672,59.573,-1.0
0.0,42.167635,-83.444661,86.306,61.138,-1.0
0.0,42.167635,-83.44466,71.801,166.629,-1.0
0.0,42.167635,-83.44466,85.859,66.541,-1.0
0.0,42.167635,-83.44466,83.607,117.818,-1.0
0.0,42.167635,-83.44466,79.477,134.465,-1.0
0.0,42.167635,-83.44466,52.866,66.032,-1.0
0.0,42.167635,-83.44466,85.495,61.302,-1.0
0.0,42.167635,-83.44466,80.724,114.008,37.394
0.0,42.167635,-83.44466,73.181,71.317,160.62
0.621,42.167635,-83.44466,80.88,61.578,68.718
1.864,42.167636,-83.44466,83.77,66.638,71.441
3.728,42.167636,-83.44466,77.134,130.276,186.603
8.078,42.167636,-83.44466,81.612,56.128,186.378
8.699,42.167635,-83.444661,85.752,119.227,249.749
8.699,42.167635,-83.444661,79.477,134.485,219.68
8.078,42.167635,-83.444661,50.621,66.879,38.678
5.592,42.167634,-83.444665,84.287,59.412,39.546
4.35,42.167634,-83.444665,83.431,116.419,31.242
3.728,42.167634,-83.444665,79.552,62.876,47.935
1.243,42.167633,-83.44467,184.74,59.816,36.727
1.243,42.167633,-83.44467,83.809,68.448,29.316
0.0,42.167633,-83.44467,81.369,125.823,30.833
0.0,42.167631,-83.44468,86.432,51.272,49.896
0.0,42.167631,-83.44468,78.693,63.91,85.178
0.0,42.167631,-83.44468,72.673,129.794,32.111
0.0,42.167631,-83.44468,60.804,52.82,32.688
0.0,42.167631,-83.44468,80.648,54.535,22.828
0.0,42.167631,-83.44468,84.137,57.482,61.213
0.0,42.167631,-83.444697,75.683,59.43,42.459
0.0,42.167631,-83.444697,83.81,54.916,27.302
0.0,42.167631,-83.444697,91.162,113.487,16.879
0.0,42.167634,-83.444718,76.084,130.906,28.168
0.0,42.167634,-83.444718,91.252,56.318,34.9
0.621,42.167634,-83.444718,82.091,62.23,29.884
1.864,42.167637,-83.44474,95.816,122.992,32.511
1.864,42.167637,-83.44474,52.345,68.165,55.162
0.621,42.167637,-83.44474,87.647,60.386,28.814
0.0,42.167639,-83.44476,200.345,54.743,23.042
3.107,42.167639,-83.44476,75.246,71.191,40.119
6.214,42.167639,-83.44476,85.243,54.406,41.963
6.835,42.167638,-83.444778,84.4,117.816,53.543
6.835,42.167638,-83.444778,78.122,131.828,26.046
6.835,42.167638,-83.444778,112.617,56.423,22.542
5.592,42.167638,-83.444778,84.966,119.543,37.024
3.728,42.167638,-83.444778,79.765,123.638,77.727
3.107,42.167638,-83.444778,52.412,68.095,94.138
2.485,42.16764,-83.444799,86.52,51.581,58.72
1.243,42.16764,-83.444799,71.885,56.244,39.915
1.243,42.16764,-83.444799,125.998,71.157,420.188
0.621,42.167643,-83.44482,87.846,55.202,1930.45
1.243,42.167643,-83.44482,95.84,133.946,5016.382
1.243,42.167643,-83.44482,80.769,53.929,10369.483
0.0,42.167646,-83.444845,84.49,59.707,21590.12
0.0,42.167646,-83.444845,82.605,117.995,20547.641
0.0,42.167646,-83.444845,76.2,130.82,19470.64
0.0,42.167649,-83.444871,78.761,71.262,18413.519
0.0,42.167649,-83.444871,58.93,54.834,-1.0
0.0,42.167649,-83.444871,82.801,73.872,-1.0
0.0,42.167654,-83.445157,112.428,66.248,-1.0
0.0,42.167654,-83.445157,78.913,122.938,-1.0
0.0,42.167654,-83.445157,82.813,58.202,-1.0
0.0,42.167654,-83.445173,55.223,52.595,-1.0
2.485,42.167654,-83.445173,81.742,124.887,-1.0
6.214,42.167654,-83.445173,84.026,67.714,-1.0
8.699,42.167654,-83.445199,97.388,51.93,-1.0
11.185,42.167654,-83.445199,81.36,66.28,-1.0
11.806,42.167654,-83.445199,80.866,130.795,-1.0
11.185,42.167653,-83.445229,68.684,55.233,-1.0
9.321,42.167653,-83.445229,85.438,119.761,-1.0
7.456,42.167653,-83.445229,102.526,53.407,-1.0
4.971,42.167653,-83.445229,61.717,65.054,-1.0
3.107,42.167653,-83.445229,69.488,57.458,-1.0
2.485,42.167653,-83.445229,82.89,116.977,-1.0
2.485,42.167651,-83.445263,82.117,70.554,-1.0
1.243,42.167651,-83.445263,86.581,52.855,-1.0
1.864,42.167651,-83.445263,85.061,73.816,-1.0
2.485,42.167648,-83.445296,85.041,130.889,-1.0
2.485,42.167648,-83.445296,83.775,52.778,-1.0
2.485,42.167648,-83.445296,78.866,113.423,-1.0
1.243,42.167648,-83.445329,83.459,67.368,-1.0
0.0,42.167648,-83.445329,94.668,53.227,-1.0
0.0,42.167648,-83.445329,69.849,56.266,-1.0
0.0,42.167647,-83.44536,90.21,115.983,-1.0
0.0,42.167647,-83.44536,81.785,54.748,-1.0
0.0,42.167647,-83.44536,122.372,50.954,-1.0
0.0,42.167647,-83.445391,94.222,60.397,-1.0
0.0,42.167647,-83.445391,91.641,75.799,-1.0
0.0,42.167647,-83.445391,74.97,70.111,-1.0
0.0,42.167647,-83.445391,56.574,123.548,-1.0
0.0,42.167647,-83.445391,81.295,65.844,-1.0
0.0,42.167647,-83.445391,78.751,61.456,-1.0
0.0,42.167648,-83.445421,65.824,118.64,-1.0
0.0,42.167648,-83.445421,78.588,132.556,-1.0
0.621,42.167648,-83.445421,80.127,73.769,-1.0
2.485,42.167649,-83.445452,74.771,77.564,-1.0
3.728,42.167649,-83.445452,79.061,124.653,-1.0
3.728,42.167649,-83.445452,76.911,123.907,-1.0
3.107,42.167651,-83.445484,69.883,54.721,49.78
0.0,42.167651,-83.445484,186.045,121.62,23.258
0.0,42.167651,-83.445484,85.523,152.093,29.334
1.243,42.167654,-83.445516,88.701,55.657,24.181
2.485,42.167654,-83.445516,87.247,55.11,28.757
3.107,42.167654,-83.445516,76.515,54.501,131.866
3.728,42.167657,-83.445548,80.096,115.572,35.434
1.864,42.167657,-83.445548,74.292,49.946,21.447
0.0,42.167657,-83.445548,80.219,114.528,35.921
0.621,42.167657,-83.445548,80.315,133.454,38.514
1.243,42.167657,-83.445548,82.34,59.808,48.237
1.864,42.167657,-83.445548,79.552,113.182,54.158
0.621,42.16766,-83.445578,74.415,121.035,59.115
0.621,42.16766,-83.445578,59.91,55.409,22.762
0.0,42.16766,-83.445578,83.522,67.612,37.891
0.0,42.167663,-83.445609,78.815,52.786,32.58
0.0,42.167663,-83.445609,77.598,71.812,33.051
0.0,42.167663,-83.445609,81.563,59.291,39.233
0.0,42.167665,-83.445639,85.577,118.048,34.244
